country,Year,Wind_consumption,Solar_consumption,Hydro_consumption,Wind_generation,Hydro_generation,Solar_generation,Wind diffrence,Solar diffrence,Hydro diffrence
Africa,2000,0.1755,0.011941,75.24581662,0.23,74.51,0,0.0545,-0.011941,-0.73581662
Africa,2001,0.41558,0.01496,80.86411472,0.46,81.21,0,0.044420000000000015,-0.01496,0.3458852799999903
Africa,2002,0.443584,0.01787101,85.18146813,0.43,83.4,0.02,-0.013584,0.00212899,-1.78146813
Africa,2003,0.535599,0.02132901,82.87260146,0.61,81.69,0.02,0.074401,-0.00132901,-1.18260146
Africa,2004,0.768280505,0.02576101,87.40546926,0.78,86.54,0.02,0.011719495000000024,-0.00576101,-0.86546926
Africa,2005,0.780382111,0.03067601,89.06573418,0.83,88.72,0.02,0.049617889,-0.01067601,-0.34573418
Africa,2006,0.852565606,0.03895701,92.24435301,0.87,91.92,0.03,0.017434394,-0.00895701,-0.32435301
Africa,2007,1.016223364,0.051533293,95.34056181,1.18,93.99,0.04,0.16377663599999992,-0.011533293,-1.35056181
Africa,2008,1.311778131,0.073232202,97.15720925,1.29,95.63,0.05,-0.021778131,-0.023232202,-1.52720925
Africa,2009,1.589230939,0.096152927,99.7611369,1.7,98.68,0.07,0.11076906100000006,-0.026152927,-1.0811369
Africa,2010,2.284582434,0.21252075,107.4268326,2.37,109.5,0.41,0.085417566,0.19747924999999997,2.0731674000000027
Africa,2011,2.386503939,0.601454301,110.444821,2.43,110.57,0.5,0.043496061,-0.101454301,0.1251789999999886
Africa,2012,2.51563024,0.994443126,110.9523002,2.37,111.66,0.65,-0.14563024,-0.344443126,0.7076998000000003
Africa,2013,3.593447303,0.78891014,117.6388464,3.55,116.88,0.74,-0.043447303,-0.04891014,-0.7588464
Africa,2014,5.060072834,1.93770017,123.7267948,5.59,122.18,1.86,0.5299271660000002,-0.07770017,-1.5467948
Africa,2015,8.910686283,3.592173384,120.1678361,8.58,120.03,2.91,-0.330686283,-0.682173384,-0.1378361
Africa,2016,11.17637067,5.12019689,116.7188052,10.47,119.05,4.21,-0.70637067,-0.91019689,2.3311947999999916
Africa,2017,12.4577741,6.902446607,125.8165222,11.54,124.99,5.6,-0.9177741,-1.302446607,-0.8265222
Africa,2018,14.77072335,8.295433824,133.140498,15.73,130.67,7.15,0.9592766499999996,-1.145433824,-2.470498
Africa,2019,18.85772913,10.90690156,137.2155108,17.47,132.43,7.86,-1.38772913,-3.04690156,-4.7855108
Africa,2020,21.78984307,12.40778213,142.5749961,17,139.46,8.33,-4.78984307,-4.07778213,-3.1149961
Algeria,1990,0,0,0.135,0,0.135,0,0,0,0
Algeria,1991,0,0,0.293,0,0.293,0,0,0,0
Algeria,1992,0,0,0.199,0,0.199,0,0,0,0
Algeria,1993,0,0,0.353,0,0.353,0,0,0,0
Algeria,1994,0,0,0.166,0,0.166,0,0,0,0
Algeria,1995,0,0,0.193,0,0.193,0,0,0,0
Algeria,1996,0,0,0.135,0,0.135,0,0,0,0
Algeria,1997,0,0,0.075,0,0.075,0,0,0,0
Algeria,1998,0,0,0.215,0,0.215,0,0,0,0
Algeria,1999,0,0,0.203,0,0.203,0,0,0,0
Algeria,2000,0,0,0.054,0,0.05,0,0,0,-0.004
Algeria,2001,0,0,0.069,0,0.07,0,0,0,0.001
Algeria,2002,0,0,0.057,0,0.06,0,0,0,0.003
Algeria,2003,0,0,0.265,0,0.26,0,0,0,-0.005
Algeria,2004,0,0,0.251,0,0.25,0,0,0,-0.001
Algeria,2005,0,0,0.5553,0,0.55,0,0,0,-0.0053
Algeria,2006,0,0,0.2176,0,0.22,0,0,0,0.0024
Algeria,2007,0,0,0.226,0,0.22,0,0,0,-0.006
Algeria,2008,0,0,0.283,0,0.28,0,0,0,-0.003
Algeria,2009,0,0,0.342,0,0.3,0,0,0,-0.042
Algeria,2010,0,0.0091,0.173,0,0.17,0,0,-0.0091,-0.003
Algeria,2011,0,0.01811875,0.378,0,0.5,0,0,-0.01811875,0.122
Algeria,2012,0,0.026723014,0.389,0,0.62,0,0,-0.026723014,0.23099999999999998
Algeria,2013,0,0.0286,0.099,0,0.33,0,0,-0.0286,0.231
Algeria,2014,0.001,0.06,0.193,0,0.25,0,-0.001,-0.06,0.056999999999999995
Algeria,2015,0.019,0.058,0.145,0.02,0.14,0.06,0.001,0.002,-0.005
Algeria,2016,0.019052055,0.245,0.072,0.03,0.22,0.09,0.010947945,-0.155,0.14800000000000002
Algeria,2017,0.019,0.504,0.056,0.01,0.06,0.57,-0.009,0.066,0.004
Algeria,2018,0.01,0.603,0.117,0.01,0.12,0.65,0,0.047,0.003
Algeria,2019,0.01,0.615,0.152,0.01,0.15,0.68,0,0.065,-0.002
Algeria,2020,0.008,0.6,0.05,0.01,0.09,0.68,0.002,0.08,0.039999999999999994
Argentina,1990,0,0,17.876,0,17.876,0,0,0,0
Argentina,1991,0,0,16.221,0,16.221,0,0,0,0
Argentina,1992,0,0,19.77905051,0,19.779,0,0,0,-5.05E-05
Argentina,1993,0,0,23.55547475,0,23.555,0,0,0,-0.00047475
Argentina,1994,0,0,27.97278788,0,27.973,0,0,0,0.00021212
Argentina,1995,0,0,28.45812121,0,28.458,0,0,0,-0.00012121
Argentina,1996,0.009618,0,25.94518182,0.01,25.945,0,0.000382,0,-0.00018182
Argentina,1997,0.014592,0,33.0299596,0.015,33.03,0,0.000408,0,4.040000000316013e-05
Argentina,1998,0.032541,1.7e-05,32.42178788,0.033,32.422,0,0.000459,-1.70E-05,0.00021212
Argentina,1999,0.034781,2.6e-05,26.53007071,0.035,26.53,0,0.000219,-2.60E-05,-7.07E-05
Argentina,2000,0.034758,3.6e-05,34.0340101,0.04,28.49,0,0.005242,-3.60E-05,-5.5440101
Argentina,2001,0.049361,4.3e-05,41.90326263,0.05,36.65,0,0.000639,-4.30E-05,-5.25326263
Argentina,2002,0.073405,4.7e-05,41.46705051,0.07,35.49,0,-0.003405,-4.70E-05,-5.97705051
Argentina,2003,0.077954,6.5e-05,39.08008081,0.08,33.47,0,0.002046,-6.50E-05,-5.61008081
Argentina,2004,0.072446,7e-05,35.40287879,0.07,30.14,0,-0.002446,-7.00E-05,-5.26287879
Argentina,2005,0.071719665,8.1e-05,39.35009091,0.08,33.66,0,0.008280335,-8.10E-05,-5.69009091
Argentina,2006,0.06964,9e-05,43.624,0.07,37.57,0,0.00036,-9.00E-05,-6.054
Argentina,2007,0.061593,0.0001089,37.741,0.06,30.06,0,-0.001593,-0.0001089,-7.681
Argentina,2008,0.041951078,0.0001437,37.199,0.04,30.11,0,-0.001951078,-0.0001437,-7.089
Argentina,2009,0.036831529,7.6084e-05,40.783,0.04,33.53,0,0.003168471,-7.61E-05,-7.253
Argentina,2010,0.025351606,8.589e-05,40.543,0.03,33.02,0,0.004648394,-8.59E-05,-7.523
Argentina,2011,0.02659055,0.001614,39.641,0.06,31.03,0,0.03340945,-0.001614,-8.611
Argentina,2012,0.369861999,0.008172967,36.876,0.82,28.71,0.01,0.45013800099999995,0.001827033,-8.166
Argentina,2013,0.453354876,0.015074079,40.7,1.01,32.51,0.01,0.556645124,-0.005074079,-8.19
Argentina,2014,0.619491,0.015944,40.864,0.62,32.33,0.02,0.000509,0.004056,-8.534
Argentina,2015,0.593334963,0.014683,41.7709,0.59,31.94,0.01,-0.003334963,-0.004683,-9.8309
Argentina,2016,0.547359,0.014273,38.25439327,0.55,29.4,0.01,0.002641,-0.004273,-8.85439327
Argentina,2017,0.611567,0.016417,41.54297858,0.61,31.46,0.02,-0.001567,0.003583,-10.08297858
Argentina,2018,1.412743,0.10813,41.64786518,1.41,31.96,0.11,-0.002743,0.00187,-9.68786518
Argentina,2019,4.995966424,0.799697913,37.06678706,5,27.33,0.8,0.004033576,0.000302087,-9.73678706
Argentina,2020,9.470297617,1.344340935,30.54359219,9.41,24.26,1.35,-0.060297617,0.005659065,-6.28359219
Asia Pacific,1990,0.032323232,0.004,399.2715428,0.032,399.272,0.004,-0.000323232,0,0.0004572
Asia Pacific,1991,0.122000909,0.00945,410.5242724,0.122,410.524,0.009,-9.09E-07,-0.00045,-0.0002724
Asia Pacific,1992,0.22047404,0.0276,401.5246502,0.22,401.525,0.028,-0.00047404,0.0004,0.0003498
Asia Pacific,1993,0.311836667,0.0431,440.2869206,0.312,440.287,0.043,0.000163333,-0.0001,7.940000000417058e-05
Asia Pacific,1994,0.583588081,0.0534,443.2981976,0.584,443.298,0.053,0.000411919,-0.0004,-0.0001976
Asia Pacific,1995,1.121601313,0.070660101,483.4344319,1.122,483.434,0.071,0.000398687,0.000339899,-0.0004319
Asia Pacific,1996,0.991205066,0.098160606,473.4094407,0.991,473.409,0.098,-0.000205066,-0.000160606,-0.0004407
Asia Pacific,1997,1.213950041,0.147015452,475.8946677,1.214,475.895,0.147,4.995900000004383e-05,-1.55E-05,0.0003323
Asia Pacific,1998,1.489550167,0.202918856,506.6742947,1.49,506.674,0.203,0.000449833,8.114400000000521e-05,-0.0002947
Asia Pacific,1999,2.053249006,0.286266606,500.2429652,2.053,500.243,0.286,-0.000249006,-0.000266606,3.479999998035055e-05
Asia Pacific,2000,2.56394698,0.428484426,521.6528876,2.564,521.653,0.428,5.3020000000181255e-05,-0.000484426,0.0001124
Asia Pacific,2001,3.517409418,0.608506426,570.4635729,3.517,570.464,0.609,-0.000409418,0.000493574,0.0004271
Asia Pacific,2002,4.067013247,0.829111425,578.9087814,4.067,578.909,0.829,-1.32E-05,-0.000111425,0.0002186
Asia Pacific,2003,5.340875855,1.116570608,594.3543015,5.341,594.354,1.117,0.000124145,0.000429392,-0.0003015
Asia Pacific,2004,9.1866934,1.463785013,699.1522028,9.187,699.152,1.464,0.0003066,0.000214987,-0.0002028
Asia Pacific,2005,12.01919361,1.852540528,727.9606312,12.019,727.961,1.853,-0.00019361,0.000459472,0.0003688
Asia Pacific,2006,18.56980713,2.29110778,801.697905,18.57,801.698,2.291,0.00019287,-0.00010778,9.499999998752173e-05
Asia Pacific,2007,24.60313141,2.748389875,852.1739291,24.603,852.174,2.748,-0.00013141,-0.000389875,7.08999999687876e-05
Asia Pacific,2008,36.0798946,3.330039168,997.7769593,36.08,997.777,3.33,0.0001054,-3.92E-05,4.069999999956053e-05
Asia Pacific,2009,54.84797828,4.382369759,968.0869271,54.848,968.087,4.382,2.1719999999447737e-05,-0.000369759,7.289999996373808e-05
