country,Year,Hydro_consumption,Hydro_generation ,Hydro_diffrence
Africa,2000,75.24581662,74.51,-0.73581662
Africa,2001,80.86411472,81.21,0.3458852799999903
Africa,2002,85.18146813,83.4,-1.78146813
Africa,2003,82.87260146,81.69,-1.18260146
Africa,2004,87.40546926,86.54,-0.86546926
Africa,2005,89.06573418,88.72,-0.34573418
Africa,2006,92.24435301,91.92,-0.32435301
Africa,2007,95.34056181,93.99,-1.35056181
Africa,2008,97.15720925,95.63,-1.52720925
Africa,2009,99.7611369,98.68,-1.0811369
Africa,2010,107.4268326,109.5,2.0731674000000027
Africa,2011,110.444821,110.57,0.1251789999999886
Africa,2012,110.9523002,111.66,0.7076998000000003
Africa,2013,117.6388464,116.88,-0.7588464
Africa,2014,123.7267948,122.18,-1.5467948
Africa,2015,120.1678361,120.03,-0.1378361
Africa,2016,116.7188052,119.05,2.3311947999999916
Africa,2017,125.8165222,124.99,-0.8265222
Africa,2018,133.140498,130.67,-2.470498
Africa,2019,137.2155108,132.43,-4.7855108
Africa,2020,142.5749961,139.46,-3.1149961
Algeria,1990,0.135,0.135,0
Algeria,1991,0.293,0.293,0
Algeria,1992,0.199,0.199,0
Algeria,1993,0.353,0.353,0
Algeria,1994,0.166,0.166,0
Algeria,1995,0.193,0.193,0
Algeria,1996,0.135,0.135,0
Algeria,1997,0.075,0.075,0
Algeria,1998,0.215,0.215,0
Algeria,1999,0.203,0.203,0
Algeria,2000,0.054,0.05,-0.004
Algeria,2001,0.069,0.07,0.001
Algeria,2002,0.057,0.06,0.003
Algeria,2003,0.265,0.26,-0.005
Algeria,2004,0.251,0.25,-0.001
Algeria,2005,0.5553,0.55,-0.0053
Algeria,2006,0.2176,0.22,0.0024
Algeria,2007,0.226,0.22,-0.006
Algeria,2008,0.283,0.28,-0.003
Algeria,2009,0.342,0.3,-0.042
Algeria,2010,0.173,0.17,-0.003
Algeria,2011,0.378,0.5,0.122
Algeria,2012,0.389,0.62,0.23099999999999998
Algeria,2013,0.099,0.33,0.231
Algeria,2014,0.193,0.25,0.056999999999999995
Algeria,2015,0.145,0.14,-0.005
Algeria,2016,0.072,0.22,0.14800000000000002
Algeria,2017,0.056,0.06,0.004
Algeria,2018,0.117,0.12,0.003
Algeria,2019,0.152,0.15,-0.002
Algeria,2020,0.05,0.09,0.039999999999999994
Argentina,1990,17.876,17.876,0
Argentina,1991,16.221,16.221,0
Argentina,1992,19.77905051,19.779,-5.05E-05
Argentina,1993,23.55547475,23.555,-0.00047475
Argentina,1994,27.97278788,27.973,0.00021212
Argentina,1995,28.45812121,28.458,-0.00012121
Argentina,1996,25.94518182,25.945,-0.00018182
Argentina,1997,33.0299596,33.03,4.040000000316013e-05
Argentina,1998,32.42178788,32.422,0.00021212
Argentina,1999,26.53007071,26.53,-7.07E-05
Argentina,2000,34.0340101,28.49,-5.5440101
Argentina,2001,41.90326263,36.65,-5.25326263
Argentina,2002,41.46705051,35.49,-5.97705051
Argentina,2003,39.08008081,33.47,-5.61008081
Argentina,2004,35.40287879,30.14,-5.26287879
Argentina,2005,39.35009091,33.66,-5.69009091
Argentina,2006,43.624,37.57,-6.054
Argentina,2007,37.741,30.06,-7.681
Argentina,2008,37.199,30.11,-7.089
Argentina,2009,40.783,33.53,-7.253
Argentina,2010,40.543,33.02,-7.523
Argentina,2011,39.641,31.03,-8.611
Argentina,2012,36.876,28.71,-8.166
Argentina,2013,40.7,32.51,-8.19
Argentina,2014,40.864,32.33,-8.534
Argentina,2015,41.7709,31.94,-9.8309
Argentina,2016,38.25439327,29.4,-8.85439327
Argentina,2017,41.54297858,31.46,-10.08297858
Argentina,2018,41.64786518,31.96,-9.68786518
Argentina,2019,37.06678706,27.33,-9.73678706
Argentina,2020,30.54359219,24.26,-6.28359219
Asia Pacific,1990,399.2715428,399.272,0.0004572
Asia Pacific,1991,410.5242724,410.524,-0.0002724
Asia Pacific,1992,401.5246502,401.525,0.0003498
Asia Pacific,1993,440.2869206,440.287,7.940000000417058e-05
Asia Pacific,1994,443.2981976,443.298,-0.0001976
Asia Pacific,1995,483.4344319,483.434,-0.0004319
Asia Pacific,1996,473.4094407,473.409,-0.0004407
Asia Pacific,1997,475.8946677,475.895,0.0003323
Asia Pacific,1998,506.6742947,506.674,-0.0002947
Asia Pacific,1999,500.2429652,500.243,3.479999998035055e-05
Asia Pacific,2000,521.6528876,521.653,0.0001124
Asia Pacific,2001,570.4635729,570.464,0.0004271
Asia Pacific,2002,578.9087814,578.909,0.0002186
Asia Pacific,2003,594.3543015,594.354,-0.0003015
Asia Pacific,2004,699.1522028,699.152,-0.0002028
Asia Pacific,2005,727.9606312,727.961,0.0003688
Asia Pacific,2006,801.697905,801.698,9.499999998752173e-05
Asia Pacific,2007,852.1739291,852.174,7.08999999687876e-05
Asia Pacific,2008,997.7769593,997.777,4.069999999956053e-05
Asia Pacific,2009,968.0869271,968.087,7.289999996373808e-05
Asia Pacific,2010,1097.622159,1097.622,-0.000159
Asia Pacific,2011,1117.742583,1117.743,0.000417
Asia Pacific,2012,1261.911788,1261.912,0.000212
Asia Pacific,2013,1367.364304,1367.364,-0.000304
Asia Pacific,2014,1521.930169,1521.93,-0.000169
Asia Pacific,2015,1565.604681,1565.605,0.000319
Asia Pacific,2016,1628.172172,1628.172,-0.000172
Asia Pacific,2017,1671.439055,1671.439,-5.50E-05
Asia Pacific,2018,1711.995847,1711.996,0.000153
Asia Pacific,2019,1791.4782,1791.478,-0.0002
Asia Pacific,2020,1847.216313,1847.216,-0.000313
Australia,1990,14.7595,14.76,0.0005
Australia,1991,15.6535,15.654,0.0005
Australia,1992,15.9415,15.942,0.0005
Australia,1993,16.387,16.387,0
Australia,1994,16.15,16.15,0
Australia,1995,15.631,15.631,0
Australia,1996,15.9685,15.968,-0.0005
Australia,1997,15.9525,15.952,-0.0005
Australia,1998,15.798,15.798,0
Australia,1999,16.2815,16.282,0.0005
Australia,2000,16.4665,16.2,-0.2665
Australia,2001,16.1235,16.4,0.27649999999999864
Australia,2002,16.095,15.72,-0.375
Australia,2003,16.21055,16.13,-0.08055
Australia,2004,15.68665,15.89,0.20335000000000036
Australia,2005,15.4657,15.16,-0.3057
Australia,2006,14.9451,15.77,0.8248999999999995
Australia,2007,13.04895,14.2,1.1510499999999997
Australia,2008,11.81515,11.79,-0.02515
Australia,2009,12.64205,11.68,-0.96205
Australia,2010,13.746,13.5,-0.246
Australia,2011,19.572,16.69,-2.882
Australia,2012,17.036,13.98,-3.056
Australia,2013,19.089,18.12,-0.969
Australia,2014,14.484,18.34,3.856
Australia,2015,14.08659847,13.32,-0.76659847
Australia,2016,17.6294521,15.02,-2.6094521
Australia,2017,13.49974762,16.04,2.5402523799999983
Australia,2018,17.33836109,15.83,-1.50836109
Australia,2019,14.1138688,15.54,1.4261311999999986
Australia,2020,14.5346444,15.15,0.6153556000000009
Austria,1990,31.509,31.51,0.001
Austria,1991,31.4434,31.44,-0.0034
Austria,1992,34.8484,34.85,0.0016
Austria,1993,36.705556,36.71,0.004444
Austria,1994,35.7075,35.71,0.0025
Austria,1995,37.067222,37.07,0.002778
Austria,1996,34.216111,34.22,0.003889
Austria,1997,36.105278,36.11,0.004722
Austria,1998,37.163333,37.16,-0.003333
Austria,1999,40.6991208,40.7,0.0008792
Austria,2000,41.83565055,41.84,0.00434945
Austria,2001,40.45548165,40.46,0.00451835
Austria,2002,40.22700281,40.23,0.00299719
Austria,2003,33.21499204,33.21,-0.00499204
Austria,2004,36.762283,36.76,-0.002283
Austria,2005,37.09513834,37.1,0.00486166
Austria,2006,35.65608477,35.66,0.00391523
Austria,2007,37.05445286,37.05,-0.00445286
Austria,2008,38.32949104,38.33,0.00050896
Austria,2009,40.89630336,40.9,0.00369664
Austria,2010,38.36341829,38.36,-0.00341829
Austria,2011,34.23908351,34.24,0.00091649
Austria,2012,43.80410469,43.85,0.04589531
Austria,2013,42.0465273,42.02,-0.0265273
Austria,2014,41.01025937,41.01,-0.00025937
Austria,2015,37.05552838,37.16,0.10447161999999821
Austria,2016,39.84471615,39.97,0.1252838499999953
Austria,2017,38.293433,38.29,-0.003433
Austria,2018,37.637911,37.64,0.002089
Austria,2019,40.455346,40.83,0.3746539999999996
Austria,2020,40.95375978,42,1.0462402200000014
Azerbaijan,1990,1.658,1.658,0
Azerbaijan,1991,1.7593,1.759,-0.0003
Azerbaijan,1992,1.7473,1.747,-0.0003
Azerbaijan,1993,2.426,2.426,0
Azerbaijan,1994,1.83,1.83,0
Azerbaijan,1995,1.556,1.556,0
Azerbaijan,1996,1.537,1.537,0
Azerbaijan,1997,1.712,1.712,0
Azerbaijan,1998,1.951,1.951,0
Azerbaijan,1999,1.506,1.506,0
Azerbaijan,2000,1.534,1.52,-0.014
Azerbaijan,2001,1.301,1.29,-0.011
Azerbaijan,2002,2.02,2,-0.02
Azerbaijan,2003,2.47,2.44,-0.03
Azerbaijan,2004,2.755,2.73,-0.025
Azerbaijan,2005,3.0094,2.98,-0.0294
Azerbaijan,2006,2.518,2.49,-0.028
Azerbaijan,2007,2.364,2.34,-0.024
Azerbaijan,2008,2.232,2.21,-0.022
Azerbaijan,2009,2.3084,2.29,-0.0184
Azerbaijan,2010,3.4463,3.41,-0.0363
Azerbaijan,2011,2.6758,2.65,-0.0258
Azerbaijan,2012,1.821,1.8,-0.021
Azerbaijan,2013,1.4891,1.47,-0.0191
Azerbaijan,2014,1.2997,1.29,-0.0097
Azerbaijan,2015,1.6375,1.62,-0.0175
Azerbaijan,2016,1.9593,1.94,-0.0193
Azerbaijan,2017,1.7464,1.73,-0.0164
Azerbaijan,2018,1.768,1.75,-0.018
Azerbaijan,2019,1.5648,1.55,-0.0148
Azerbaijan,2020,1.068,1.07,0.002
Bangladesh,1990,0.884,0.884,0
Bangladesh,1991,0.838,0.838,0
Bangladesh,1992,0.796,0.796,0
Bangladesh,1993,0.608,0.608,0
Bangladesh,1994,0.847,0.847,0
Bangladesh,1995,0.372,0.372,0
Bangladesh,1996,0.739,0.739,0
Bangladesh,1997,0.719,0.719,0
Bangladesh,1998,0.865,0.865,0
Bangladesh,1999,0.833,0.833,0
Bangladesh,2000,0.749,0.94,0.19099999999999995
Bangladesh,2001,0.993,0.98,-0.013
Bangladesh,2002,0.749,1.05,0.30100000000000005
Bangladesh,2003,0.749,1.12,0.3710000000000001
Bangladesh,2004,0.749,1.21,0.46099999999999997
Bangladesh,2005,0.749,1.28,0.531
Bangladesh,2006,0.749,1.38,0.6309999999999999
Bangladesh,2007,0.749,0.74,-0.009
Bangladesh,2008,0.95,0.94,-0.01
Bangladesh,2009,0.417,0.44,0.023
Bangladesh,2010,0.729,0.76,0.031000000000000028
Bangladesh,2011,0.872,0.92,0.048
Bangladesh,2012,0.777,0.82,0.043
Bangladesh,2013,0.728378728,0.94,0.21162127199999992
Bangladesh,2014,0.566453438,0.62,0.053546561999999964
Bangladesh,2015,0.898146455,0.59,-0.308146455
Bangladesh,2016,0.884632595,1.01,0.125367405
Bangladesh,2017,1.029528088,1.03,0.000471912
Bangladesh,2018,0.865411112,1.08,0.2145888880000001
Bangladesh,2019,0.823091189,0.82,-0.003091189
Bangladesh,2020,0.700670737,0.61,-0.090670737
Belarus,1990,0.02,0.02,0
Belarus,1991,0.018,0.018,0
Belarus,1992,0.017,0.017,0
Belarus,1993,0.019,0.019,0
Belarus,1994,0.019,0.019,0
Belarus,1995,0.02,0.02,0
Belarus,1996,0.016,0.016,0
Belarus,1997,0.021,0.021,0
Belarus,1998,0.028,0.028,0
Belarus,1999,0.019,0.019,0
Belarus,2000,0.027,0.03,0.003
Belarus,2001,0.03,0.03,0
Belarus,2002,0.029,0.03,0.001
Belarus,2003,0.028,0.03,0.002
Belarus,2004,0.033,0.03,-0.003
Belarus,2005,0.036,0.04,0.004
Belarus,2006,0.035,0.04,0.005
Belarus,2007,0.035,0.04,0.005
Belarus,2008,0.039,0.04,0.001
Belarus,2009,0.045,0.04,-0.005
Belarus,2010,0.045,0.05,0.005
Belarus,2011,0.042,0.04,-0.002
Belarus,2012,0.072,0.07,-0.002
Belarus,2013,0.138,0.14,0.002
Belarus,2014,0.121,0.12,-0.001
Belarus,2015,0.111,0.11,-0.001
Belarus,2016,0.142,0.14,-0.002
Belarus,2017,0.406,0.4,-0.006
Belarus,2018,0.324,0.32,-0.004
Belarus,2019,0.351,0.34,-0.011
Belarus,2020,0.353340883,0.39,0.036659117
Belgium,1990,0.266,0.27,0.004
Belgium,1991,0.229,0.23,0.001
Belgium,1992,0.341,0.34,-0.001
Belgium,1993,0.254,0.25,-0.004
Belgium,1994,0.346,0.35,0.004
Belgium,1995,0.338,0.34,0.002
Belgium,1996,0.239,0.24,0.001
Belgium,1997,0.305,0.31,0.005
Belgium,1998,0.389,0.39,0.001
Belgium,1999,0.341,0.34,-0.001
Belgium,2000,0.46,0.46,0
Belgium,2001,0.441,0.44,-0.001
Belgium,2002,0.36,0.36,0
Belgium,2003,0.247,0.25,0.003
Belgium,2004,0.317,0.32,0.003
Belgium,2005,0.288,0.29,0.002
Belgium,2006,0.359,0.36,0.001
Belgium,2007,0.389,0.39,0.001
Belgium,2008,0.41,0.41,0
Belgium,2009,0.328,0.33,0.002
Belgium,2010,0.312,0.31,-0.002
Belgium,2011,0.196,0.2,0.004
Belgium,2012,0.357,0.36,0.003
Belgium,2013,0.38,0.38,0
Belgium,2014,0.2952,0.29,-0.0052
Belgium,2015,0.3184,0.32,0.0016
Belgium,2016,0.37,0.37,0
Belgium,2017,0.2701,0.27,-1.00E-04
Belgium,2018,0.3135,0.29,-0.0235
Belgium,2019,0.302,0.3,-0.002
Belgium,2020,0.281926695,0.27,-0.011926695
Brazil,1990,206.708,206.708,0
Brazil,1991,217.782,217.782,0
Brazil,1992,223.343,223.343,0
Brazil,1993,235.065,235.065,0
Brazil,1994,242.705,242.705,0
Brazil,1995,253.905,253.905,0
Brazil,1996,265.769,265.769,0
Brazil,1997,278.972,278.972,0
Brazil,1998,291.469,291.469,0
Brazil,1999,293,293,0
Brazil,2000,304.403,301.36,-3.043
Brazil,2001,267.876,265.2,-2.676
Brazil,2002,286.092,283.23,-2.862
Brazil,2003,305.616,302.56,-3.056
Brazil,2004,320.7969068,317.59,-3.2069068
Brazil,2005,337.4566739,334.08,-3.3766739
Brazil,2006,348.80546,345.32,-3.48546
Brazil,2007,374.0151216,370.27,-3.7451216
Brazil,2008,369.5564,365.86,-3.6964
Brazil,2009,390.988065,387.08,-3.908065
Brazil,2010,403.2898133,399.26,-4.0298133
Brazil,2011,428.3329199,424.05,-4.2829199
Brazil,2012,415.3421755,411.19,-4.1521755
Brazil,2013,390.992014,387.08,-3.912014
Brazil,2014,373.4390605,369.7,-3.7390605
Brazil,2015,359.7428082,356.15,-3.5928082
Brazil,2016,380.9109424,377.1,-3.8109424
Brazil,2017,370.9064564,367.2,-3.7064564
Brazil,2018,388.9710759,385.08,-3.8910759
Brazil,2019,397.8770566,393.9,-3.9770566
Brazil,2020,396.7985,409.5,12.70150000000001
Bulgaria,1990,1.878,1.63,-0.248
Bulgaria,1991,2.441,2.27,-0.171
Bulgaria,1992,2.063,1.9,-0.163
Bulgaria,1993,1.942,1.79,-0.152
Bulgaria,1994,1.468,1.3,-0.168
Bulgaria,1995,2.314,2.17,-0.144
Bulgaria,1996,2.919,2.89,-0.029
Bulgaria,1997,2.754,2.72,-0.034
Bulgaria,1998,3.097,3.07,-0.027
Bulgaria,1999,2.753,2.73,-0.023
Bulgaria,2000,2.673,2.63,-0.043
Bulgaria,2001,1.737,1.65,-0.087
Bulgaria,2002,2.194,2.12,-0.074
Bulgaria,2003,3.029,2.99,-0.039
Bulgaria,2004,3.168,3.14,-0.028
Bulgaria,2005,4.337,4.3,-0.037
Bulgaria,2006,4.238,4.21,-0.028
Bulgaria,2007,2.874,2.83,-0.044
Bulgaria,2008,2.824,2.79,-0.034
Bulgaria,2009,3.47,3.43,-0.04
Bulgaria,2010,5.057,5.03,-0.027
Bulgaria,2011,2.917,2.87,-0.047
Bulgaria,2012,3.226,3.18,-0.046
Bulgaria,2013,4.08,4.04,-0.04
Bulgaria,2014,4.605,4.6,-0.005
Bulgaria,2015,5.661,5.65,-0.011
Bulgaria,2016,3.942,3.88,-0.062
Bulgaria,2017,2.828103,2.83,0.001897
Bulgaria,2018,5.146578,5.15,0.003422
Bulgaria,2019,2.9658,2.93,-0.0358
Bulgaria,2020,2.951120825,2.82,-0.131120825
CIS,1990,211.2386082,211.239,0.0003918
CIS,1991,211.4583,211.458,-0.0003
CIS,1992,216.0005,216,-0.0005
CIS,1993,222.579,222.579,0
CIS,1994,226.33,226.33,0
CIS,1995,220.3152,220.315,-0.0002
CIS,1996,198.816,198.816,0
CIS,1997,197.854,197.854,0
CIS,1998,198.338,198.338,0
CIS,1999,203.164,203.164,0
CIS,2000,208.4302046,208.43,-0.0002046
CIS,2001,217.3062926,217.306,-0.0002926
CIS,2002,207.3236969,207.324,0.0003031
CIS,2003,205.713567,205.714,0.000433
CIS,2004,225.7875374,225.788,0.0004626
CIS,2005,223.5215278,223.522,0.0004722
CIS,2006,222.0111462,222.011,-0.0001462
CIS,2007,227.4092604,227.409,-0.0002604
CIS,2008,207.6668828,207.667,0.0001172
CIS,2009,218.3186585,218.319,0.0003415
CIS,2010,216.837877,216.838,0.000123
CIS,2011,212.7478767,212.748,0.0001233
CIS,2012,213.0366011,213.037,0.0003989
CIS,2013,229.4372169,229.437,-0.0002169
CIS,2014,221.1443932,221.144,-0.0003932
CIS,2015,215.4258085,215.426,0.0001915
CIS,2016,236.3356069,236.336,0.0003931
CIS,2017,240.8469037,240.847,9.629999999560823e-05
CIS,2018,244.31325,244.313,-0.00025
CIS,2019,248.4666359,248.467,0.0003641
CIS,2020,265.5866795,265.587,0.0003205
Canada,1990,295.6833232,295.683,-0.0003232
Canada,1991,307.2759919,307.276,8.100000002286833e-06
Canada,1992,315.1746545,315.175,0.0003455
Canada,1993,322.213898,322.214,0.000102
Canada,1994,327.8555808,327.856,0.0004192
Canada,1995,334.0597343,334.06,0.0002657
Canada,1996,354.5920747,354.592,-7.47E-05
Canada,1997,348.6796212,348.68,0.0003788
Canada,1998,330.8699253,330.87,7.470000002740562e-05
Canada,1999,345.0007828,345.001,0.0002172
Canada,2000,356.7600778,354.92,-1.8400778
Canada,2001,331.5210293,329.99,-1.5310293
Canada,2002,349.2746394,347.05,-2.2246394
Canada,2003,336.1393646,334.07,-2.0693646
Canada,2004,338.3983606,337.43,-0.9683606
Canada,2005,361.9557495,358.3,-3.6557495
Canada,2006,352.8872859,349.32,-3.5672859
Canada,2007,367.6214596,363.91,-3.7114596
Canada,2008,377.4877303,373.68,-3.8077303
Canada,2009,368.6874051,364.96,-3.7274051
Canada,2010,351.384803,347.87,-3.514803
Canada,2011,375.7237242,371.97,-3.7537242
Canada,2012,380.2671364,376.46,-3.8071364
Canada,2013,391.7888717,387.87,-3.9188717
